name,Hex,red,green,blue
Absolute Zero,#0048BA,0,72,186
Acid Green,#B0BF1A,176,191,26
Aero,#7CB9E8,124,185,232
Aero Blue,#C9FFE5,201,255,229
African Violet,#B284BE,178,132,190
Air Force Blue (USAF),#00308F,0,48,143
Air Superiority Blue,#72A0C1,114,160,193
Alabama Crimson,#AF002A,175,0,42
Alabaster,#F2F0E6,242,240,230
Alice Blue,#F0F8FF,240,248,255
Alien Armpit,#84DE02,132,222,2
Alizarin Crimson,#E32636,227,38,54
Alloy Orange,#C46210,196,98,16
Almond,#EFDECD,239,222,205
Amaranth,#E52B50,229,43,80
Amaranth Deep Purple,#9F2B68,159,43,104
Amaranth Pink,#F19CBB,241,156,187
Amaranth Purple,#AB274F,171,39,79
Amaranth Red,#D3212D,211,33,45
Amazon,#3B7A57,59,122,87
Amber,#FFBF00,255,191,0
Amber (SAE/ECE),#FF7E00,255,126,0
American Blue,#3B3B6D,59,59,109
American Bronze,#391802,57,24,2
American Brown,#804040,128,64,64
American Gold,#D3AF37,211,175,55
American Green,#34B334,52,179,52
American Orange,#FF8B00,255,139,0
American Pink,#FF9899,255,152,153
American Purple,#431C53,67,28,83
American Red,#B32134,179,33,52
American Rose,#FF033E,255,3,62
American Silver,#CFCFCF,207,207,207
American Violet,#551B8C,85,27,140
American Yellow,#F2B400,242,180,0
Amethyst,#9966CC,153,102,204
Android Green,#A4C639,164,198,57
Anti-Flash White,#F2F3F4,242,243,244
Antique Brass,#CD9575,205,149,117
Antique Bronze,#665D1E,102,93,30
Antique Fuchsia,#915C83,145,92,131
Antique Ruby,#841B2D,132,27,45
Antique White,#FAEBD7,250,235,215
Ao (English),#008000,0,128,0
Apple,#66B447,102,180,71
Apple Green,#8DB600,141,182,0
Apricot,#FBCEB1,251,206,177
Aqua,#00FFFF,0,255,255
Aquamarine,#7FFFD4,127,255,212
Arctic Lime,#D0FF14,208,255,20
Argent,#C0C0C0,192,192,192
Army Green,#4B5320,75,83,32
Arsenic,#3B444B,59,68,75
Artichoke,#8F9779,143,151,121
Arylide Yellow,#E9D66B,233,214,107
Ash Gray,#B2BEB5,178,190,181
Asparagus,#87A96B,135,169,107
Ateneo Blue,#003A6C,0,58,108
Atomic Tangerine,#FF9966,255,153,102
Auburn,#A52A2A,165,42,42
Aureolin,#FDEE00,253,238,0
AuroMetalSaurus,#6E7F80,110,127,128
Avocado,#568203,86,130,3
Awesome,#FF2052,255,32,82
Axolotl,#63775B,99,119,91
Aztec Gold,#C39953,195,153,83
Azure,#007FFF,0,127,255
Azure (Web Color),#F0FFFF,240,255,255
Azure Mist,#F0FFFF,240,255,255
Azureish White,#DBE9F4,219,233,244
Baby Blue,#89CFF0,137,207,240
Baby Blue Eyes,#A1CAF1,161,202,241
Baby Pink,#F4C2C2,244,194,194
Baby Powder,#FEFEFA,254,254,250
Baker-Miller Pink,#FF91AF,255,145,175
Ball Blue,#21ABCD,33,171,205
Banana Mania,#FAE7B5,250,231,181
Banana Yellow,#FFE135,255,225,53
Bangladesh Green,#006A4E,0,106,78
Barbie Pink,#E0218A,224,33,138
Barn Red,#7C0A02,124,10,2
Battery Charged Blue,#1DACD6,29,172,214
Battleship Grey,#848482,132,132,130
Bazaar,#98777B,152,119,123
Beau Blue,#BCD4E6,188,212,230
Beaver,#9F8170,159,129,112
Beer,#F28E1C,242,142,28
Begonia,#FA6E79,250,110,121
Beige,#F5F5DC,245,245,220
B'dazzled Blue,#2E5894,46,88,148
Big Dip O’ruby,#9C2542,156,37,66
Big Foot Feet,#E88E5A,232,142,90
Bisque,#FFE4C4,255,228,196
Bistre,#3D2B1F,61,43,31
Bistre Brown,#967117,150,113,23
Bitter Lemon,#CAE00D,202,224,13
Bitter Lime,#BFFF00,191,255,0
Bittersweet,#FE6F5E,254,111,94
Bittersweet Shimmer,#BF4F51,191,79,81
Black,#000000,0,0,0
Black Bean,#3D0C02,61,12,2
Black Chocolate,#1B1811,27,24,17
Black Coffee,#3B2F2F,59,47,47
Black Coral,#54626F,84,98,111
Black Leather Jacket,#253529,37,53,41
Black Olive,#3B3C36,59,60,54
Blackberry,#8F5973,143,89,115
Black Shadows,#BFAFB2,191,175,178
