gene	anchor_index	function
IGHV1-69*01	285	F
IGHV1-69*02	285	F
IGHV3-74*01	285	F
IGHV7-81*01	285	ORF
IGHV2-5*01	288	F
IGHV3-30-3*02	285	F
IGHV3-30-3*01	285	F
IGHV3-43D*01	285		F
IGHV3-64*01	285	F
IGHV4-59*02	282	F
IGHV4-34*01	282	F
IGHV3-52*01	285	P
IGHV3-49*01	291	F
IGHV1-2*01	285		F
IGHV3-33*01	285	F
IGHV3-33*02	285	F
IGHV4-28*01	285	F
IGHV3-21*02	285	F
IGHV3-35*01	285	ORF
IGHV3-21*01	285	F
IGHV3-16*01	285	ORF
IGHV6-1*01	294		F
IGHV3-19*01	285	P
IGHV4-59*01	282	F
IGHV3-30*01	285	F
IGHV3-NL1*01	285		F
IGHV3-72*01	291	F
IGHV3-38-3*01	279	ORF
IGHV2-70*01	288	F
IGHV1-18*01	285	F
IGHV4-38-2*01	285	F
IGHV5-10-1*01	285	F
IGHV3-7*02	285		F
IGHV3-7*01	285		F
IGHV4-30-2*01	288	F
IGHV7-34-1*02	282	P
IGHV3-53*01	282	F
IGHV3-69-1*02	282	P
IGHV3-11*01	285	F
IGHV3-71*02	291	P
IGHV3-71*01	291	P
IGHV3-43*01	285	F
IGHV1-45*01	285	F
IGHV5-51*01	285	F
IGHV3-47*02	282	P
IGHV3-47*01	282	P
IGHV2-26*01	288	F
IGHV7-4-1*02	285		F
IGHV3-22*01	291	P
IGHV7-4-1*01	285		F
IGHV3-66*01	282	F
IGHV1-3*01	285		F
IGHV1-8*01	285		F
IGHV3-13*01	282	F
IGHV1-38-4*01	285	ORF
IGHV1-24*01	285	F
IGHV1-8*02	285		F
IGHV3-20*01	285	F
IGHV4-39*01	288	F
IGHV3-9*01	285		F
IGHV1-46*01	285	F
IGHV3-73*01	291	F
IGHV3-23*01	285	F
IGHV3-15*01	291	F
IGHV3-48*01	285	F
IGHV4-61*01	288	F
IGHV4-55*01	285	P
IGHV1-58*01	285	F
IGHV4-4*01	285		F
IGHV1-NL1*01	285		P
