name,Hex,red,green,blue
Air Force blue,#5d8aa8,93,138,168
Alice blue,#f0f8ff,240,248,255
Alizarin crimson,#e32636,227,38,54
Almond,#efdecd,239,222,205
Amaranth,#e52b50,229,43,80
Amber,#ffbf00,255,191,0
American rose,#ff033e,255,3,62
Amethyst,#9966cc,153,102,204
Android Green,#a4c639,164,198,57
Anti-flash white,#f2f3f4,242,243,244
Antique brass,#cd9575,205,149,117
Antique fuchsia,#915c83,145,92,131
Antique white,#faebd7,250,235,215
Ao,#008000,0,128,0
Apple green,#8db600,141,182,0
Apricot,#fbceb1,251,206,177
Aqua,#00ffff,0,255,255
Aquamarine,#7fffd4,127,255,212
Army green,#4b5320,75,83,32
Arylide yellow,#e9d66b,233,214,107
Ash grey,#b2beb5,178,190,181
Asparagus,#87a96b,135,169,107
Atomic tangerine,#ff9966,255,153,102
Auburn,#a52a2a,165,42,42
Aureolin,#fdee00,253,238,0
AuroMetalSaurus,#6e7f80,110,127,128
Awesome,#ff2052,255,32,82
Azure,#007fff,0,127,255
Azure mist/web,#f0ffff,240,255,255
Baby blue,#89cff0,137,207,240
Baby blue eyes,#a1caf1,161,202,241
Baby pink,#f4c2c2,244,194,194
Ball Blue,#21abcd,33,171,205
Banana Mania,#fae7b5,250,231,181
Banana yellow,#ffe135,255,225,53
Battleship grey,#848482,132,132,130
Bazaar,#98777b,152,119,123
Beau blue,#bcd4e6,188,212,230
Beaver,#9f8170,159,129,112
Beige,#f5f5dc,245,245,220
Bisque,#ffe4c4,255,228,196
Bistre,#3d2b1f,61,43,31
Bittersweet,#fe6f5e,254,111,94
Black,#000000,0,0,0
Blanched Almond,#ffebcd,255,235,205
Bleu de France,#318ce7,49,140,231
Blizzard Blue,#ace5ee,172,229,238
Blond,#faf0be,250,240,190
Blue,#0000ff,0,0,255
Blue Bell,#a2a2d0,162,162,208
Blue Gray,#6699cc,102,153,204
Blue green,#0d98ba,13,152,186
Blue purple,#8a2be2,138,43,226
Blue violet,#8a2be2,138,43,226
Blush,#de5d83,222,93,131
